GRB,z,Type,LB,SFR,age,M,12 + log(O/H)
050709,0.161,L,0.1,0.15,0.26,8.8,8.5
050724A,0.257,E,1.0,<0.1,0.94,10.8,NA
051221A,0.546,L,0.3,0.95,0.17,9.4,8.8
060121,<4.1,?,NA,NA,NA,NA,NA
060313,<1.7,?,NA,NA,NA,NA,NA
061006,0.438,L,0.1,0.24,0.24,9.0,8.6
061201,0.111,H/L,0.1,0.14,NA,NA,NA
070429B,0.902,L,0.6,1.1,0.46,10.4,NA
070707,<3.6,?,NA,NA,NA,NA,NA
070714B,0.922,L,0.1,0.44,0.22,9.4,NA
070724A,0.457,L,1.4,2.5,0.30,10.1,8.9
070809,0.473,H/E,1.9,<0.1,3.10,11.4,NA
071227,0.381,L,1.2,0.6,0.49,10.4,8.5
080503,<4.2,H/?,NA,NA,NA,NA,NA
080905A,0.122,L,NA,NA,NA,NA,8.7
081226A,<4.1,?,NA,NA,NA,NA,NA
090305,<4.1,H/?,NA,NA,NA,NA,NA
090426A,2.609,L,NA,NA,NA,NA,NA
090510,0.903,L,0.3,0.3,0.14,9.7,NA
090515,0.403,H/E,1.0,0.1,4.35,11.2,NA
091109B,<4.4,?,NA,NA,NA,NA,NA
100117A,0.915,E,0.5,<0.2,0.79,10.3,NA
110112A,<5.3,H/?,NA,NA,NA,NA,NA
111020A,NA,?,NA,NA,NA,NA,NA
111117A,1.2,L,0.6,6.0,0.09,9.6,NA
120804A,1.3,L,0.8,8.0,0.13,10.8,NA
130603B,0.356,L,1.0,1.7,NA,9.7,8.7
050509B,0.225,E,5.0,<0.15,3.18,11.6,NA
050813,NA,E,NA,NA,NA,NA,NA
051210,>1.4,?,NA,NA,NA,NA,NA
060502B,0.287,E,1.6,0.8,1.3,11.8,NA
060801,1.130,L,0.6,6.1,0.03,9.1,NA
061210,0.409,L,0.9,1.2,0.38,9.6,8.8
061217,0.827,L,0.4,2.5,0.03,9.1,NA
070729,0.8,E,1.0,<1.5,0.98,10.6,NA
080123,0.495,L,1.2,NA,0.31,10.1,NA
100206A,0.407,L,1.0,30,0.10,10.8,9.2
100625A,0.452,E,0.2,0.3,0.79,10.3,NA
101219A,0.718,L,1.3,16,0.03,9.2,NA
130515A,0.718,L,NA,16,0.03,9.2,NA
