GRB,z,Eiso
990123,1.60,278.0
990510,1.619,20.6
990712,0.434,0.78
020124,3.198,99.8
020813,1.25,95.9
021004,2.33,5.68
021211,1.01,2.23
030328,1.52,24.0
030329,0.168,1.07
040924,0.859,1.96
041006,0.716,1.66
050416A,0.6535,0.10
050525A,0.606,2.41
050820A,2.612,20.3
050922C,2.198,4.56
060115,3.53,8.87
060908,1.1884,9.48
061007,1.261,91.41
061121,1.314,28.21
070612A,0.617,3.0
071010B,0.947,2.35
071020,2.145,14.06
080319B,0.937,120.36
080411,1.03,23.24
080413A,2.433,12.97
080413B,1.10,1.85
080605,1.64,27.60
080721,2.591,91.00
080804,2.2045,19.80
080810,3.355,58.58
081007,0.5295,0.12
081008,1.9685,12.70
081121,2.512,19.57
081222,2.77,20.28
090102,1.543,15.96
090418A,1.608,13.75
090423,8.26,8.51
090424,0.544,3.54
090516A,4.11,73.95
090519,3.85,34.30
090618,0.54,22.95
090812,2.452,43.26
091020,1.71,6.81
091029,2.752,9.46
091127,0.49,1.39
091208B,1.063,2.50
100728B,2.106,5.66
100814A,1.44,11.65
110205A,2.22,57.82
110213A,1.46,8.57
110422A,1.77,66.04
110503A,1.613,17.84
110731A,2.83,39.84
120326A,1.798,4.08
120811C,2.671,7.42
120907A,0.97,0.27
121211A,1.023,0.49
130408A,3.758,21.39
130420A,1.297,4.61
130427A,0.3399,81.93
130505A,2.27,220.26
130610A,2.092,9.59
130701A,1.155,3.52
130831A,0.4791,0.775
131030A,1.293,10.75
140213A,1.2076,191.66
140419A,3.956,67.97
140423A,3.26,1.28
140506A,0.889,9.44
140512A,0.725,20.96
140703A,3.14,28.91
