#  wl flux error bpmap
3.300371e+03 1.044136e-18 5.213750e-18   0.000000
3.300971e+03 5.673908e-18 5.275995e-18   0.000000
3.301571e+03 3.466361e-18 4.723232e-18   0.000000
3.302172e+03 7.843851e-18 4.421930e-18   0.000000
3.302772e+03 1.541457e-18 4.424336e-18   0.000000
3.303372e+03 -1.127689e-18 5.176676e-18   0.000000
3.303972e+03 2.200553e-19 4.883376e-18   0.000000
3.304572e+03 2.239794e-18 4.351614e-18   0.000000
3.305172e+03        nan        nan   0.000000
3.305772e+03 -7.403166e-19 4.500513e-18   0.000000
3.306372e+03 3.904365e-18 4.774002e-18   0.000000
3.306972e+03 -9.697162e-19 5.111440e-18   0.000000
3.307573e+03 -6.543122e-19 4.649786e-18   0.000000
3.308173e+03 -5.459423e-18 4.393775e-18   0.000000
3.308773e+03 -7.749375e-18 4.271756e-18   0.000000
3.309373e+03 3.237672e-18 4.379794e-18   0.000000
3.309973e+03 9.069772e-19 4.507664e-18   0.000000
3.310573e+03 1.125547e-18 4.994215e-18   0.000000
3.311173e+03 3.025196e-18 5.068054e-18   0.000000
3.311773e+03        nan        nan   0.000000
3.312374e+03 -4.673935e-18 4.667033e-18   0.000000
3.312974e+03        nan        nan   0.000000
3.313574e+03 -4.409744e-19 4.590825e-18   0.000000
3.314174e+03 5.159134e-18 4.830666e-18   0.000000
3.314774e+03 1.033725e-17 5.048586e-18   0.000000
3.315374e+03 -3.601723e-18 4.845500e-18   0.000000
3.315974e+03 2.837022e-19 4.723828e-18   0.000000
3.316574e+03 -4.781004e-18 4.783148e-18   0.000000
3.317175e+03 -1.125603e-19 4.766620e-18   0.000000
3.317775e+03 3.352013e-19 4.891830e-18   0.000000
3.318375e+03 6.899012e-18 4.674866e-18   0.000000
3.318975e+03 7.886253e-19 4.748816e-18   0.000000
3.319575e+03 7.071820e-18 5.146601e-18   0.000000
3.320175e+03 3.031121e-18 4.884012e-18   0.000000
3.320775e+03 4.328799e-18 4.748430e-18   0.000000
3.321375e+03 5.801964e-18 4.614024e-18   0.000000
3.321976e+03 1.251320e-18 4.785919e-18   0.000000
3.322576e+03 6.356938e-18 4.687245e-18   0.000000
3.323176e+03 -1.363921e-18 4.213375e-18   0.000000
3.323776e+03 -8.119919e-19 4.290425e-18   0.000000
3.324376e+03 -2.001966e-18 4.867243e-18   0.000000
3.324976e+03 1.045202e-18 4.669741e-18   0.000000
3.325576e+03 5.803472e-18 4.279065e-18   0.000000
3.326176e+03 4.097399e-19 4.340499e-18   0.000000
3.326776e+03 -4.764355e-18 4.373103e-18   0.000000
3.327377e+03        nan        nan   0.000000
3.327977e+03 -1.148534e-18 4.290531e-18   0.000000
3.328577e+03 4.653912e-18 4.264603e-18   0.000000
3.329177e+03 -1.376588e-18 4.207218e-18   0.000000
3.329777e+03 3.793985e-19 3.927053e-18   0.000000
3.330377e+03 -1.193670e-18 3.956674e-18   0.000000
3.330977e+03 -1.206615e-18 4.489343e-18   0.000000
3.331577e+03 4.568987e-18 4.334049e-18   0.000000
3.332178e+03 -4.373914e-18 3.916673e-18   0.000000
3.332778e+03 -1.686768e-18 3.883253e-18   0.000000
3.333378e+03 4.460442e-18 3.972542e-18   0.000000
3.333978e+03        nan        nan   0.000000
3.334578e+03 -7.481764e-19 3.851547e-18   0.000000
3.335178e+03 1.140646e-18 4.026845e-18   0.000000
3.335778e+03 4.378427e-18 3.910407e-18   0.000000
3.336378e+03 1.903095e-18 3.972676e-18   0.000000
3.336979e+03        nan        nan   0.000000
3.337579e+03 -1.387259e-18 3.672635e-18   0.000000
3.338179e+03 -1.494846e-18 3.715724e-18   0.000000
3.338779e+03 5.005904e-18 3.690758e-18   0.000000
3.339379e+03 3.096913e-18 3.834415e-18   0.000000
3.339979e+03 -1.995619e-18 3.880733e-18   0.000000
3.340579e+03 4.073298e-18 3.782162e-18   0.000000
3.341179e+03 1.622409e-19 3.573512e-18   0.000000
3.341779e+03 -6.870120e-19 3.500766e-18   0.000000
3.342380e+03 4.705361e-18 3.666390e-18   0.000000
3.342980e+03 3.226811e-18 3.545869e-18   0.000000
3.343580e+03 -2.183665e-18 3.410924e-18   0.000000
3.344180e+03 -2.653711e-19 3.420467e-18   0.000000
3.344780e+03 4.351856e-18 3.483492e-18   0.000000
3.345380e+03 -2.443017e-18 3.529155e-18   0.000000
3.345980e+03 2.229866e-18 3.498186e-18   0.000000
