#  wl flux error bpmap
3.300371e+03 8.031812e-19 4.010577e-18   0.000000
3.300971e+03 4.364545e-18 4.058457e-18   0.000000
3.301571e+03 2.666432e-18 3.633255e-18   0.000000
3.302172e+03 6.033731e-18 3.401484e-18   0.000000
3.302772e+03 1.185736e-18 3.403335e-18   0.000000
3.303372e+03 -8.674534e-19 3.982059e-18   0.000000
3.303972e+03 1.692733e-19 3.756443e-18   0.000000
3.304572e+03 1.722918e-18 3.347395e-18   0.000000
3.305172e+03        nan        nan   0.000000
3.305772e+03 -5.694743e-19 3.461933e-18   0.000000
3.306372e+03 3.003358e-18 3.672309e-18   0.000000
3.306972e+03 -7.459355e-19 3.931877e-18   0.000000
3.307573e+03 -5.033171e-19 3.576759e-18   0.000000
3.308173e+03 -4.199556e-18 3.379827e-18   0.000000
3.308773e+03 -5.961058e-18 3.285966e-18   0.000000
3.309373e+03 2.490517e-18 3.369073e-18   0.000000
3.309973e+03 6.976747e-19 3.467434e-18   0.000000
3.310573e+03 8.658056e-19 3.841704e-18   0.000000
3.311173e+03 2.327074e-18 3.898503e-18   0.000000
3.311773e+03        nan        nan   0.000000
3.312374e+03 -3.595335e-18 3.590025e-18   0.000000
3.312974e+03        nan        nan   0.000000
3.313574e+03 -3.392111e-19 3.531404e-18   0.000000
3.314174e+03 3.968565e-18 3.715897e-18   0.000000
3.314774e+03 7.951730e-18 3.883528e-18   0.000000
3.315374e+03 -2.770556e-18 3.727308e-18   0.000000
3.315974e+03 2.182325e-19 3.633714e-18   0.000000
3.316574e+03 -3.677695e-18 3.679345e-18   0.000000
3.317175e+03 -8.658482e-20 3.666631e-18   0.000000
3.317775e+03 2.578471e-19 3.762946e-18   0.000000
3.318375e+03 5.306933e-18 3.596051e-18   0.000000
3.318975e+03 6.066348e-19 3.652936e-18   0.000000
3.319575e+03 5.439862e-18 3.958924e-18   0.000000
3.320175e+03 2.331632e-18 3.756932e-18   0.000000
3.320775e+03 3.329846e-18 3.652639e-18   0.000000
3.321375e+03 4.463049e-18 3.549250e-18   0.000000
3.321976e+03 9.625539e-19 3.681476e-18   0.000000
3.322576e+03 4.889952e-18 3.605573e-18   0.000000
3.323176e+03 -1.049170e-18 3.241058e-18   0.000000
3.323776e+03 -6.246092e-19 3.300327e-18   0.000000
3.324376e+03 -1.539974e-18 3.744033e-18   0.000000
3.324976e+03 8.040019e-19 3.592108e-18   0.000000
3.325576e+03 4.464209e-18 3.291588e-18   0.000000
3.326176e+03 3.151845e-19 3.338846e-18   0.000000
3.326776e+03 -3.664889e-18 3.363926e-18   0.000000
3.327377e+03        nan        nan   0.000000
3.327977e+03 -8.834877e-19 3.300408e-18   0.000000
3.328577e+03 3.579932e-18 3.280464e-18   0.000000
3.329177e+03 -1.058914e-18 3.236321e-18   0.000000
3.329777e+03 2.918450e-19 3.020810e-18   0.000000
3.330377e+03 -9.182077e-19 3.043596e-18   0.000000
3.330977e+03 -9.281656e-19 3.453341e-18   0.000000
3.331577e+03 3.514605e-18 3.333884e-18   0.000000
3.332178e+03 -3.364549e-18 3.012826e-18   0.000000
3.332778e+03 -1.297514e-18 2.987117e-18   0.000000
3.333378e+03 3.431109e-18 3.055802e-18   0.000000
3.333978e+03        nan        nan   0.000000
3.334578e+03 -5.755203e-19 2.962729e-18   0.000000
3.335178e+03 8.774201e-19 3.097573e-18   0.000000
3.335778e+03 3.368021e-18 3.008006e-18   0.000000
3.336378e+03 1.463919e-18 3.055904e-18   0.000000
3.336979e+03        nan        nan   0.000000
3.337579e+03 -1.067122e-18 2.825104e-18   0.000000
3.338179e+03 -1.149882e-18 2.858250e-18   0.000000
3.338779e+03 3.850695e-18 2.839044e-18   0.000000
3.339379e+03 2.382241e-18 2.949550e-18   0.000000
3.339979e+03 -1.535092e-18 2.985179e-18   0.000000
3.340579e+03 3.133306e-18 2.909356e-18   0.000000
3.341179e+03 1.248007e-19 2.748856e-18   0.000000
3.341779e+03 -5.284708e-19 2.692897e-18   0.000000
3.342380e+03 3.619509e-18 2.820300e-18   0.000000
3.342980e+03 2.482163e-18 2.727591e-18   0.000000
3.343580e+03 -1.679743e-18 2.623788e-18   0.000000
3.344180e+03 -2.041316e-19 2.631128e-18   0.000000
3.344780e+03 3.347581e-18 2.679609e-18   0.000000
3.345380e+03 -1.879244e-18 2.714734e-18   0.000000
3.345980e+03 1.715282e-18 2.690912e-18   0.000000
3.346580e+03 -2.209204e-19 2.517846e-18   0.000000
3.347181e+03 6.659159e-18 2.589989e-18   0.000000
3.347781e+03 1.390930e-18 2.459266e-18   0.000000
